Date,Transaction Type,Serial Number,Description,Amount,Daily Posted Balance
1/1/2022,balance,0,Opening Balance,"$148,136.99 ","$148,136.99 "
1/3/2022,Debit,0,GLOBAL PAYMENTS  GLOBAL STL 8788 210011971     5469221406,($4.95),"$148,132.04 "
1/3/2022,Debit,0,BILL.COM         PAYABLES   016Z VFUYE22JUBK   1204895317,"($2,408.69)","$145,723.35 "
1/4/2022,Debit,0,AUTHNET GATEWAY  BILLING    1207 02876         1870568569,($25),"$145,698.35 "
1/4/2022,Debit,0,INDUSTRIOUS TECH INDUSTRIOU ST-V 0Q2W8C3Y1X0   4270465600,($50),"$145,648.35 "
1/4/2022,Debit,0,GUSTO            FEE 606839 6SEM JQUUNNQ       2453942850,($51),"$145,597.35 "
1/4/2022,Debit,0,BILL.COM         PAYABLES   016X JKJEN22LSKU   1204895317,($750),"$144,847.35 "
1/4/2022,Debit,0,TRUIST BANK      CL PAYMENT 0006 997848        9051000020,"($1,624.72)","$143,222.63 "
1/5/2022,Debit,0,BILL.COM         PAYABLES   016K DADEE22NJSJ   1204895317,"($14,475)","$128,747.63 "
1/6/2022,Debit,0,BILL.COM         PAYABLES   016P QQUJA22POF0   1204895317,"($10,333.75)","$118,413.88 "
1/7/2022,Debit,0,PAYPAL           DEBIT      R220 10610838427   E204791216,"($2,242.37)","$116,171.51 "
1/10/2022,Debit,0,BILL.COM         PAYABLES   016B GRNKL22TMOR   1204895317,"($3,000)","$113,171.51 "
1/11/2022,Debit,0,CAPITAL ONE      CRCARDPMT  3L11 QR2KP1MX08K   9541719018,($129),"$113,042.51 "
1/11/2022,Debit,0,USAA CREDIT CARD PAYMENT    9967 90304023259   3140742690,($231),"$112,811.51 "
1/11/2022,Debit,0,CAPITAL ONE      CRCARDPMT  3L11 TK95C7MO6HO   9541719018,($611),"$112,200.51 "
1/11/2022,Debit,0,BILL.COM         PAYABLES   016Z DJAPG22VU3Y   1204895317,($541.12),"$111,659.39 "
1/12/2022,Debit,0,UNITED HEALTHCAR EDI PAYMTS 5401 68122472      1411289245,"($2,317.32)","$109,342.07 "
1/12/2022,Debit,0,BILL.COM         PAYABLES   016O FFHAD22XX07   1204895317,"($4,170)","$105,172.07 "
1/13/2022,Debit,0,GUSTO            TAX 772993 6SEM JR0PEM1       9138864001,"($4,831.52)","$100,340.55 "
1/13/2022,Debit,0,GUSTO            NET 772991 6SEM JR0PEK4       9138864001,"($8,135.02)","$92,205.53 "
1/14/2022,Debit,0,PAYPAL           DEBIT      R220 11310872797   E204791216,"($2,242.37)","$89,963.16 "
1/14/2022,Debit,0,BILL.COM         PAYABLES   016W AMXUF231Y7U   1204895317,"($2,500)","$87,463.16 "
1/19/2022,Debit,0,USAA.COM PAY EXT LIFE       D033 345925        USAALIFEBP,($290.38),"$87,172.78 "
1/19/2022,Debit,0,BILL.COM         PAYABLES   016N OMMJG236JN5   1204895317,"($4,600)","$82,572.78 "
1/21/2022,Debit,0,ACCOUNT ANALYSIS ACCT ANLY  753               0000000010,($5),"$82,567.78 "
1/21/2022,Debit,0,PAYPAL           DEBIT      R220 12010903942   E204791216,"($2,242.37)","$80,325.41 "
1/25/2022,Debit,0,BILL.COM         PAYABLES   016P IALCM23FIYN   1204895317,"($7,092.96)","$73,232.45 "
1/26/2022,Debit,0,TRUIST BANK      CL PAYMENT 0006 997848        9051000020,"($1,686.71)","$71,545.74 "
1/26/2022,Debit,0,BILL.COM         PAYABLES   016R RJDME23HFJQ   1204895317,"($5,670)","$65,875.74 "
1/27/2022,Debit,0,TRUIST BANK      CL PAYMENT 0006 997848        9051000020,($724.98),"$65,150.76 "
1/27/2022,Debit,0,TRUIST BANK      CL PAYMENT 0006 997848        9051000020,"($4,326.90)","$60,823.86 "
1/28/2022,Debit,0,PAYPAL           DEBIT      R220 12710933232   E204791216,"($2,242.37)","$58,581.49 "
1/28/2022,Debit,0,BILL.COM         PAYABLES   016K PZHYV23L7XT   1204895317,"($3,000)","$55,581.49 "
1/28/2022,Debit,0,GUSTO            TAX 271260 6SEM JR3QAUP       9138864001,"($4,510.62)","$51,070.87 "
1/28/2022,Debit,0,GUSTO            NET 271241 6SEM JR3QAU8       9138864001,"($8,318.46)","$42,752.41 "
1/31/2022,Debit,0,BILL.COM         PAYABLES   016C HZXGE23N8PU   1204895317,($158),"$42,594.41 "
2/2/2022,Debit,0,GLOBAL PAYMENTS  GLOBAL STL 8788 210011971     5469221406,($4.95),"$42,589.46 "
2/2/2022,Debit,0,AUTHNET GATEWAY  BILLING    1211 18231         1870568569,($25),"$42,564.46 "
2/2/2022,Debit,0,GUSTO            FEE 385298 6SEM JR4I314       2453942850,($51),"$42,513.46 "
2/2/2022,Debit,0,BILL.COM         PAYABLES   016J MLVWS23RP9I   1204895317,"($3,750)","$38,763.46 "
2/4/2022,DEPOSIT,0,DEPOSIT,"$10,343.61 ","$49,107.07 "
2/4/2022,Debit,0,TRUIST BANK      CL PAYMENT 0006 997848        9051000020,"($1,624.71)","$47,482.36 "
2/4/2022,Debit,0,PAYPAL           DEBIT      R220 20310967862   E204791216,"($2,242.37)","$45,239.99 "
2/9/2022,Debit,0,USAA CREDIT CARD PAYMENT    9967 90304023259   3140742690,($349),"$44,890.99 "
2/9/2022,Debit,0,BILL.COM         PAYABLES   016B CAFCC242FI3   1204895317,"($1,677.50)","$43,213.49 "
2/10/2022,Debit,0,UNITED HEALTHCAR EDI PAYMTS 5401 68157760      1411289245,"($2,317.32)","$40,896.17 "
2/10/2022,Debit,0,AMEX EPAYMENT    ACH PMT    M527 6             0005000008,"($27,556.92)","$13,339.25 "
2/11/2022,Debit,0,CAPITAL ONE      CRCARDPMT  3L7L AWLAU45H8C4   9541719018,($135),"$13,204.25 "
2/11/2022,Debit,0,CAPITAL ONE      CRCARDPMT  3L7L 9TG50KC24T8   9541719018,($502),"$12,702.25 "
2/11/2022,Debit,0,PAYPAL           DEBIT      R220 21010991489   E204791216,"($2,242.37)","$10,459.88 "
2/11/2022,Debit,0,FOR ITEM       $16 520.00 BILL.C OM         PAYABLES   016HRF,($38),"$10,421.88 "
2/14/2022,Debit,0,BILL.COM         PAYABLES   016Y XOTJM248GU2   1204895317,"($4,100)","$6,321.88 "
2/17/2022,Debit,0,USAA.COM PAY EXT LIFE       D033 345925        USAALIFEBP,($290.38),"$6,031.50 "
2/18/2022,Debit,0,ACCOUNT ANALYSIS ACCT ANLY  753               0000000010,($5),"$6,026.50 "
2/18/2022,Debit,0,PAYPAL           DEBIT      R220 21711029858   E204791216,"($2,242.37)","$3,784.13 "
2/23/2022,Deposit,,WIRE REF# 20220223-00015022 INCOMING WIRE TRANSFER,"$50,443.61 ","$54,227.74 "
2/24/2022,Debit,,TAX 842280 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($4,510.64)",
2/24/2022,Debit,,NET 842272 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($8,318.45)",
2/24/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($4,170)","$37,228.65 "
2/25/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000042 ACH CORP DEBIT,"($1,686.71)","$35,541.94 "
2/28/2022,Credit,,CORP PAY VERITONE INCORP MODEVNETWORK ACH CREDIT,"$125,000 ",
2/28/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($3,514.06)",
2/28/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000059 ACH CORP DEBIT,($724.98),
2/28/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000075 ACH CORP DEBIT,"($4,326.90)","$151,976.00 "
3/1/2022,Debit,,TAX 024677 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($4,979.91)",
3/1/2022,Debit,,NET 024675 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($8,970.53)","$138,025.56 "
3/2/2022,Debit,,GLOBAL STL GLOBAL PAYMENTS MODEVNETWORK  LLC ACH CORP DEBIT,($4.95),
3/2/2022,Debit,,BILLING AUTHNET GATEWAY MODEVNETWORK LLC ACH CORP DEBIT,($25),
3/2/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Erickson ACH CORP DEBIT,"($25,000)",
3/2/2022,Debit,,FEE 033527 GUSTO ModevNetwork LLC ACH CORP DEBIT,($51),
3/2/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($1,500)",
3/2/2022,Debit,,WIRE REF# 20220302-00004960 BUSONLINE DOMESTIC WIRE,"($4,170)","$107,274.61 "
3/3/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($10,000)",
3/3/2022,Debit,,WIRE REF# 20220303-00007843 BUSONLINE DOMESTIC WIRE,"($5,000)",
3/3/2022,Debit,,WIRE REF# 20220303-00013969 BUSONLINE DOMESTIC WIRE,"($3,000)",
3/3/2022,Debit,,WIRE REF# 20220303-00014335 BUSONLINE DOMESTIC WIRE,($850),
3/3/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000018 ACH CORP DEBIT,"($1,624.71)","$86,799.90 "
3/4/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$84,546.73 "
3/9/2022,Debit,,PAYMENT USAA CREDIT CARD 996790304023259 RECURRING INTERNET PAYMENT,($366),
3/9/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Erickson ACH CORP DEBIT,"($10,000)","$74,180.73 "
3/10/2022,Debit,,EDI PAYMTS UNITED HEALTHCAR 0007MODEVNETWORK LLC ACH CORP DEBIT,"($2,317.32)","$71,863.41 "
3/11/2022,Debit,,CRCARDPMT CAPITAL ONE PETER G ERICKSON ACH CORP DEBIT,($133),
3/11/2022,Debit,,CRCARDPMT CAPITAL ONE PETER G ERICKSON ACH CORP DEBIT,($468),
3/11/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)",
3/11/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($4,100)","$64,909.24 "
3/14/2022,Credit,,DEPOSIT INTUIT 54552365 MODEV ACH CREDIT,"$40,000 ",
3/14/2022,Debit,,TRAN FEE INTUIT 14617265 MODEV ACH CORP DEBIT,($10),
3/14/2022,Debit,,TAX 276218 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($4,978.12)",
3/14/2022,Debit,,NET 276210 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($8,970.55)",
3/14/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Erickson ACH CORP DEBIT,"($39,978.08)","$50,972.49 "
3/15/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($10,340)",
3/15/2022,Debit,,WIRE REF# 20220315-00004155 BUSONLINE DOMESTIC WIRE,"($4,170)","$36,462.49 "
3/16/2022,Debit,,Industriou Industrious tech ST-D1C0D6E5V6G1 INTERNET PAYMENT,($50),
3/16/2022,Debit,,Industriou Industrious tech ST-W1S0G0K4F6B5 INTERNET PAYMENT,($50),
3/16/2022,Debit,,Industriou Industrious tech ST-M6I9T3M1C1S7 INTERNET PAYMENT,($50),"$36,312.49 "
3/17/2022,Debit,,LIFE USAA.COM PAY EXT D033345925RECURRING INTERNET PAYMENT,($290.38),"$36,022.11 "
3/18/2022,Credit,,2367 WillowTree MoDevNetwork LLCACH CREDIT,"$40,000 ",
3/18/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$73,768.94 "
3/22/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Erickson ACH CORP DEBIT,"($21,127.79)","$52,641.15 "
3/24/2022,Credit,,EBV 512895 GUSTO rsk3 ModevNetwork LLC ACH CREDIT,$0.01 ,
3/24/2022,Credit,,CON 511640 GUSTO rjtf ModevNetwork LLC ACH CREDIT,"$15,000 ","$67,641.16 "
3/25/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$65,387.99 "
3/28/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($4,500)",
3/28/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000059 ACH CORP DEBIT,($724.98),
3/28/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000042 ACH CORP DEBIT,"($1,686.71)",
3/28/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000075 ACH CORP DEBIT,"($4,326.90)","$54,149.40 "
3/29/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($2,726.06)","$51,423.34 "
